"연도","월","품종","병명","발생건수","발생률"
"2019","01","넙치","스쿠티카증","1","1.1"
"2019","01","조피볼락","아가미흡충병","1","1.1"
"2019","01","조피볼락","비브리오병","2","2.3"
"2019","01","참돔","아가미흡충병","2","2.3"
"2019","01","참돔","비브리오병","1","1.1"
"2019","01","농어","비브리오병","1","1.1"
"2019","01","넙치, 조피볼락, 참돔, 돌돔, 감성돔, 농어, 점농어, 볼락, 말쥐치, 돌가자미, 숭어, 뱀장어, 붕어, 잉어, 이스라엘잉어, 무지개송어, 철갑상어, 미꾸라지, 우렁이, 금붕어, 비단잉어, 열대어, 징거미새우","없음","80","90.9"
"2019","02","조피볼락","에로모나스병","1","1.2"
"2019","02","조피볼락","비브리오병","1","1.2"
"2019","02","참돔","아가미흡충병","2","2.3"
"2019","02","참돔","비브리오병","2","2.3"
"2019","02","농어","비브리오병","2","2.3"
"2019","02","넙치, 조피볼락, 참돔, 돌돔, 감성돔, 농어, 점농어, 볼락, 숭어, 뱀장어, 붕어, 잉어, 이스라엘잉어, 미꾸라지, 우렁이, 쏘가리, 자라, 메기, 틸라피아, 버들치","없음","79","90.8"
"2019","03","넙치","스쿠티카증","1","1.2"
"2019","03","넙치","활주세균증","1","1.2"
"2019","03","넙치","비브리오증","1","1.2"
"2019","03","조피볼락","활주세균","1","1.2"
"2019","03","조피볼락","비브리오","1","1.2"
"2019","03","조피볼락","에로모나스","4","4.7"
"2019","03","조피볼락","영양성질병","1","1.2"
"2019","03","조피볼락","아가미흡충","2","2.3"
"2019","03","돌돔","활주세균","1","1.2"
"2019","03","숭어","활주세균","1","1.2"
"2019","03","참돔","비브리오","1","1.2"
"2019","03","넙치, 조피볼락, 돌돔, 숭어, 참돔, 우렁이, 뱀장어, 붕어, 잉어, 이스라엘잉어, 메기, 징거미새우 ,참돔, 감성돔, 미꾸라지","없음","70","81.9"
"2019","04","조피볼락","에로모나스","4","4.3"
"2019","04","조피볼락","아가미흡충","2","2.2"
"2019","04","조피볼락","활주세균","1","1.1"
"2019","04","조피볼락","비브리오","5","5.4"
"2019","04","참돔","아가미흡충","1","1.1"
"2019","04","참돔","비브리오","2","2.2"
"2019","04","숭어","비브리오","3","3.2"
"2019","04","넙치","스쿠치카","1","1.1"
"2019","04","방어","베네데니아","1","1.1"
"2019","04","열대어","활주세균","1","1.1"
"2019","04","은어","활주세균","1","1.1"
"2019","04","넙치, 조피볼락, 참돔, 돌돔, 감성돔, 쥐치, 농어, 점농어, 볼락, 황복, 숭어, 뱀장어, 흰다리새우, 금붕어, 붕어, 비단잉어, 잉어, 이스라엘잉어, 미꾸라지, 우렁이, 쏘가리, 자라, 메기, 틸라피아, 버들치","없음","71","76.3"
"2019","05","조피볼락","에로모나스병","4","4.5"
"2019","05","조피볼락","아가미흡충병","14","15.7"
"2019","05","조피볼락","연쇄구균","1","1.1"
"2019","05","조피볼락","비브리오병","1","1.1"
"2019","05","참돔","비브리오병","3","3.4"
"2019","05","점농어","이크티오보도","1","1.1"
"2019","05","점농어","닥틸로자이러스","1","1.1"
"2019","05","숭어","비브리오병","1","1.1"
"2019","05","돌돔","피부흡충증","1","1.1"
"2019","05","넙치","연쇄구균백신접종","1","1.1"
"2019","05","넙치","트리코디나충증","3","3.4"
"2019","05","붕어","활주세균","1","1.1"
"2019","05","말쥐치","연쇄구균","1","1.1"
"2019","05","넙치, 조피볼락, 참돔, 말쥐치, 돌돔, 철갑상어, 쥐치. 농어, 볼락, 숭어, 붕어, 방어, 잉어, 이스라엘잉어, 찬넬메기, 틸라피아","없음","56","62.9"
"2019","06","조피볼락","연쇄상구균균","2","2.2"
"2019","06","조피볼락","아가미흡충병","22","24.7"
"2019","06","참돔","에드와드균","1","1.1"
"2019","06","참돔","아가미흡충병","1","1.1"
"2019","06","참돔","비브리오병","2","2.2"
"2019","06","점농어","비브리오병","1","1.1"
"2019","06","점농어","아가미흡충병","1","1.1"
"2019","06","쥐치","연쇄구균","1","1.1"
"2019","06","숭어","비브리오병","2","2.2"
"2019","06","넙치","연쇄구균","1","1.1"
"2019","06","넙치","익티오보도충증","1","1.1"
"2019","06","넙치","스쿠치카","6","6.7"
"2019","06","은어","비브리오병","1","1.1"
"2019","06","농어","비브리오균","1","1.1"
"2019","06","돌돔","베네데니아충","1","1.1"
"2019","06","버들치","활주세균증","1","1.1"
"2019","06","넙치, 조피볼락, 감성돔, 참돔, 돌돔, 동갈돗돔, 무지개송어, 은어, 미꾸리, 숭어, 메기, 뱀장어, 붕어, 이스라엘잉어, 쏘가리","없음","39","43.8"
"2019","07","조피볼락","연쇄구균","8","9.2"
"2019","07","조피볼락","아가미흡충병","27","31"
"2019","07","참돔","비브리오병","1","1.1"
"2019","07","감성돔","비브리오병","1","1.1"
"2019","07","점농어","연쇄구균","1","1.1"
"2019","07","감성돔","킬로도넬라","1","1.1"
"2019","07","숭어","비브리오병","1","1.1"
"2019","07","숭어","연쇄구균","1","1.1"
"2019","07","넙치","연쇄구균","2","2.3"
"2019","07","넙치","트리코디나충증","3","3.4"
"2019","07","넙치","스쿠치카","4","4.6"
"2019","07","붕어","활주세균증","1","1.1"
"2019","07","돌돔","베네데니아충","1","1.1"
"2019","07","넙치, 조피볼락, 볼락, 감성돔, 참돔, 돌돔, 점농어, 말쥐치, 방어, 미꾸리, 숭어, 메기, 뱀장어, 붕어, 우렁이, 버들치, 쏘가리","없음","35","40.2"
"2019","08","조피볼락","연쇄구균","9","9.2"
"2019","08","조피볼락","아가미흡충병","25","25.5"
