지역,국가,환자발생 수(명),사망(명)
아시아,중국,"83,500","4,634"
아시아,홍콩,"1,197",7
아시아,대만,447,7
아시아,마카오,46,0
아시아,일본,"18,390",971
아시아,싱가포르,"43,246",26
아시아,태국,"3,162",58
아시아,말레이시아,"8,606",121
아시아,베트남,353,0
아시아,인도,"508,953","15,685"
아시아,필리핀,"34,073","1,224"
아시아,캄보디아,139,0
아시아,네팔,"11,755",27
아시아,러시아,"627,646","8,969"
아시아,스리랑카,"2,014",11
아시아,아프가니스탄,"30,616",703
아시아,파키스탄,"198,883","4,035"
아시아,인도네시아,"51,427","2,683"
아시아,부탄,70,0
아시아,몰디브,"2,283",8
아시아,방글라데시,"130,474","1,661"
아시아,브루나이,141,2
아시아,몽골,219,0
아시아,카자흐스탄,"20,319",158
아시아,우즈베키스탄,"7,490",20
아시아,키르기스스탄,"4,204",43
아시아,동티모르,24,0
아시아,미얀마,293,6
아시아,라오스,19,0
아시아,타지키스탄,"5,747",52
중동,이란,"220,180","10,364"
중동,바레인,"24,805",78
중동,이집트,"62,755","2,620"
중동,이라크,"43,262","1,660"
중동,요르단,"1,104",9
중동,쿠웨이트,"44,391",344
중동,레바논,"1,719",33
중동,리비아,713,18
중동,모로코,"11,854",218
중동,오만,"36,953",159
중동,카타르,"93,663",110
중동,사우디아라비아,"178,504","1,511"
중동,시리아,255명,8
중동,튀니지,"1,164",50
중동,이스라엘,"23,421",317
중동,아랍에미리트,"46,973",310
중동,알제리,"12,685",885
중동,예멘,"1,093",294
미주,미국,"2,505,593","125,480"
미주,캐나다,"103,032","8,516"
미주,멕시코,"212,802","26,381"
미주,파나마,"29,037",564
미주,온두라스,"15,366",426
미주,과테말라,"15,619",623
미주,코스타리카,"2,684",12
미주,엘살바도르,"5,517",133
미주,벨리즈,23,2
미주,니카라구아,"2,014",74
미주,도미니카공화국,"29,764",712
미주,쿠바,"2,325",85
미주,자메이카,684,10
미주,트리니다드토바고,123,8
미주,아이티,"5,543",96
미주,바하마,104,11
미주,바베이도스,97,7
미주,앤티가바부다,26,3
미주,그레나다,23,0
미주,세인트루시아,19,0
미주,세인트빈센트그레나딘,29,0
미주,도미니카연방,18,0
미주,세인트키츠네비스,15,0
미주,브라질,"1,313,667","57,070"
미주,페루,"275,989","9,135"
미주,에콰도르,"54,574","4,424"
미주,칠레,"267,766","5,347"
미주,콜롬비아,"80,599","2,654"
미주,아르헨티나,"52,457","1,167"
미주,볼리비아,"28,506",913
미주,우루과이,907,26
미주,파라과이,"1,711",13
미주,베네수엘라,"4,563",39
미주,가이아나,215,12
미주,수리남,373,10
유럽,이탈리아,"240,136","34,716"
유럽,독일,"194,458","8,968"
유럽,프랑스,"162,936","29,778"
유럽,영국,"310,250","43,514"
유럽,스페인,"248,469","28,341"
유럽,오스트리아,"17,562",700
유럽,크로아티아,"2,539",107
유럽,핀란드,"7,191",328
유럽,스웨덴,"65,137","5,280"
유럽,스위스,"31,555","1,682"
유럽,벨기에,"61,209","9,732"
유럽,덴마크,"12,675",604
유럽,에스토니아,"1,986",69
유럽,조지아,921,14
유럽,그리스,"3,343",191
유럽,북마케도니아,"5,758",268
유럽,노르웨이,"8,815",249
유럽,루마니아,"26,022","1,589"
유럽,네덜란드,"50,074","6,105"
유럽,벨라루스,"60,713",373
유럽,리투아니아,"1,808",78
유럽,산마리노,713,42
유럽,아제르바이잔,"15,369",187
유럽,아이슬란드,"1,832",10
유럽,모나코,99,1
유럽,룩셈부르크,"4,173",110
유럽,아르메니아,"23,909",420
유럽,아일랜드,"25,437","1,734"
유럽,체코,"11,038",349
유럽,포르투갈,"41,189","1,561"
유럽,라트비아,"1,112",30
유럽,안도라,855,52
유럽,폴란드,"33,714","1,435"
유럽,우크라이나,"41,117","1,086"
유럽,헝가리,"4,127",578
유럽,보스니아 헤르체고비나,"3,934",177
유럽,슬로베니아,"1,558",111
유럽,리히텐슈타인,83,1
유럽,세르비아,"13,565",265
유럽,슬로바키아,"1,643",28
유럽,불가리아,"4,513",215
유럽,몰타,670,9
유럽,몰도바,"15,776",515
유럽,알바니아,"2,330",53
유럽,사이프러스,992,19
유럽,터키,"195,883","5,082"
유럽,몬테네그로,414,9
유럽,코소보,"2,451",34
오세아니아,호주,"7,595",104
오세아니아,뉴질랜드,"1,172",22
오세아니아,피지,18,0
오세아니아,파푸아뉴기니,11,0
아프리카,나이지리아,"23,298",554
아프리카,세네갈,"6,354",98
아프리카,카메룬,"12,592",313
아프리카,남아프리카공화국,"124,590","2,340"
아프리카,토고,591,14
아프리카,부르키나파소,934,53
아프리카,DR콩고,"6,551",148
아프리카,코트디부아르,"8,739",64
아프리카,수단,"9,258",572
아프리카,에티오피아,"5,425",89
아프리카,가봉,"5,209",40
아프리카,가나,"15,834",103
아프리카,기니,"5,260",29
아프리카,케냐,"5,533",137
아프리카,나미비아,102,0
아프리카,중앙아프리카공화국,"3,340",40
아프리카,콩고,"1,204",38
아프리카,적도기니,"1,043",12
아프리카,에스와티니,731,8
아프리카,모리타니아,"3,739",119
아프리카,르완다,858,2
아프리카,세이쉘,20,0
아프리카,베냉,"1,053",14
아프리카,라이베리아,684,34
아프리카,탄자니아,509,21
아프리카,지부티,"4,643",52
아프리카,감비아,44,2
아프리카,잠비아,"1,531",21
아프리카,모리셔스,340,10
아프리카,차드,865,74
아프리카,니제르,"1,059",67
아프리카,카보베르데,"1,027",10
아프리카,짐바브웨,561,7
아프리카,소말리아,"2,878",90
아프리카,마다가스카르,"1,829",15
아프리카,앙골라,212,10
아프리카,에리트레아,167,0
아프리카,우간다,833,0
아프리카,모잠비크,788,5
아프리카,기니비사우,"1,556",19
아프리카,말리,"2,060",113
아프리카,보츠와나,89,1
아프리카,브룬디,144,1
아프리카,시에라리온,"1,394",59
아프리카,말라위,"1,005",13
아프리카,남수단,"1,952",36
아프리카,상투메프린시페,392,11
아프리카,코모로,272,7
아프리카,레소토,24,0
기타,기타지역 영토,"18,659",359
