지역,국가,환자발생 수,사망자 수
아시아,중국,"83,500명","4,634명"
아시아,홍콩,"1,197명",7명
아시아,대만,447명(사망 7),
아시아,마카오,46명,
아시아,일본,"18,390명(사망 971)",
아시아,싱가포르,"43,246명(사망 26)",
아시아,태국,"3,162명(사망 58)",
아시아,말레이시아,"8,606명(사망 121)",
아시아,베트남,353명,
아시아,인도,"508,953명(사망 15,685)",
아시아,필리핀,"34,073명(사망 1,224)",
아시아,캄보디아,139명,
아시아,네팔,"11,755명(사망 27)",
아시아,러시아,"627,646명(사망 8,969)",
아시아,스리랑카,"2,014명(사망 11)",
아시아,아프가니스탄,"30,616명(사망 703)",
아시아,파키스탄,"198,883명(사망 4,035)",
아시아,인도네시아,"51,427명(사망 2,683)",
아시아,부탄,70명,
아시아,몰디브,"2,283명(사망 8)",
아시아,방글라데시,"130,474명(사망 1,661)",
아시아,브루나이,141명(사망 2),
아시아,몽골,219명,
아시아,카자흐스탄,"20,319명(사망 158)",
아시아,우즈베키스탄,"7,490명(사망 20)",
아시아,키르기스스탄,"4,204명(사망 43)",
아시아,동티모르,24명,
아시아,미얀마,293명(사망 6),
아시아,라오스,19명,
아시아,타지키스탄,"5,747명(사망 52)",
중동,이란,"220,180명(사망 10,364)",
중동,바레인,"24,805명(사망 78)",
중동,이집트,"62,755명(사망 2,620)",
중동,이라크,"43,262명(사망 1,660)",
중동,요르단,"1,104명(사망 9)",
중동,쿠웨이트,"44,391명(사망 344)",
중동,레바논,"1,719명(사망 33)",
중동,리비아,713명(사망 18),
중동,모로코,"11,854명(사망 218)",
중동,오만,"36,953명(사망 159)",
중동,카타르,"93,663명(사망 110)",
중동,사우디아라비아,"178,504명(사망 1,511)",
중동,시리아,255명(사망 8),
중동,튀니지,"1,164명(사망 50)",
중동,이스라엘,"23,421명(사망 317)",
중동,아랍에미리트,"46,973명(사망 310)",
중동,알제리,"12,685명(사망 885)",
중동,예멘,"1,093명(사망 294)",
미주,미국,"2,505,593명(사망 125,480)",
